seed,protocol,dataset,metric,value
0,test,internal_test,R2,0.26460957527160645
0,test,internal_test,MSE,0.9001464247703552
0,test,internal_test,MAE,0.7364186644554138
0,test,internal_test,pearson,0.5921913385391235
0,test,internal_test,spearman,0.628834068775177
0,test,faris_data,R2,-0.134405255317688
0,test,faris_data,MSE,0.7726761698722839
0,test,faris_data,MAE,0.7268299460411072
0,test,faris_data,pearson,0.42191776633262634
0,test,faris_data,spearman,0.4369838535785675
0,test,merz_data,R2,0.5601484775543213
0,test,merz_data,MSE,0.3275330364704132
0,test,merz_data,MAE,0.38565486669540405
0,test,merz_data,pearson,0.7632859349250793
0,test,merz_data,spearman,0.7953653931617737
0,test,nielsen_data,R2,-0.5593305826187134
0,test,nielsen_data,MSE,839.9536743164062
0,test,nielsen_data,MAE,18.723167419433594
0,test,nielsen_data,pearson,0.5681877732276917
0,test,nielsen_data,spearman,0.6707008481025696
1,test,internal_test,R2,0.4360685348510742
1,test,internal_test,MSE,1.480053424835205
1,test,internal_test,MAE,0.9554075002670288
1,test,internal_test,pearson,0.6623437404632568
1,test,internal_test,spearman,0.6247716546058655
1,test,faris_data,R2,0.05745667219161987
1,test,faris_data,MSE,0.6419934034347534
1,test,faris_data,MAE,0.6712754964828491
1,test,faris_data,pearson,0.41635799407958984
1,test,faris_data,spearman,0.43205776810646057
1,test,merz_data,R2,0.49989110231399536
1,test,merz_data,MSE,0.3724032938480377
1,test,merz_data,MAE,0.48159945011138916
1,test,merz_data,pearson,0.7427921891212463
1,test,merz_data,spearman,0.7822109460830688
1,test,nielsen_data,R2,-0.23939096927642822
1,test,nielsen_data,MSE,667.6141967773438
1,test,nielsen_data,MAE,16.3916015625
1,test,nielsen_data,pearson,0.5809270739555359
1,test,nielsen_data,spearman,0.6936497092247009
2,test,internal_test,R2,0.2834266424179077
2,test,internal_test,MSE,0.7304406762123108
2,test,internal_test,MAE,0.6693987250328064
2,test,internal_test,pearson,0.6548584699630737
2,test,internal_test,spearman,0.6006588339805603
2,test,faris_data,R2,-0.32025742530822754
2,test,faris_data,MSE,0.8992654085159302
2,test,faris_data,MAE,0.7623739242553711
2,test,faris_data,pearson,0.405381441116333
2,test,faris_data,spearman,0.4231351315975189
2,test,merz_data,R2,0.5601484775543213
2,test,merz_data,MSE,0.3275330364704132
2,test,merz_data,MAE,0.38565486669540405
2,test,merz_data,pearson,0.7632859349250793
2,test,merz_data,spearman,0.7953653931617737
2,test,nielsen_data,R2,-0.5366499423980713
2,test,nielsen_data,MSE,827.7365112304688
2,test,nielsen_data,MAE,18.510103225708008
2,test,nielsen_data,pearson,0.5583754777908325
2,test,nielsen_data,spearman,0.6708896160125732
3,test,internal_test,R2,0.15336906909942627
