protocol,dataset,metric,n,mean,std,min,max
test,faris_data,MAE,10,1.0141021609306335,0.31636750707278977,0.6712754964828491,1.6964221000671387
test,faris_data,MSE,10,1.5351272761821746,0.8518504394089148,0.6419934034347534,3.4811973571777344
test,faris_data,R2,10,-1.253798633813858,1.250644756644505,-4.110921859741211,0.05745667219161987
test,faris_data,pearson,10,0.41621358692646027,0.006934397453478789,0.405381441116333,0.428201287984848
test,faris_data,spearman,10,0.4238390475511551,0.007314730978372342,0.4120368957519531,0.4369838535785675
test,internal_test,MAE,10,0.7536946773529053,0.12859894441001293,0.5039696097373962,0.9554075002670288
test,internal_test,MSE,10,0.9738299638032913,0.28568180581758823,0.48186370730400085,1.480053424835205
test,internal_test,R2,10,0.414169579744339,0.1786014108709395,0.15336906909942627,0.8005199432373047
test,internal_test,pearson,10,0.6928387582302094,0.10426566042764676,0.5769843459129333,0.8988708257675171
test,internal_test,spearman,10,0.673082846403122,0.10349537785812257,0.512201726436615,0.8325913548469543
test,merz_data,MAE,10,0.6647866368293762,0.39421716816439323,0.38565486669540405,1.5423122644424438
test,merz_data,MSE,10,0.7994509756565094,0.7542021332257401,0.32492688298225403,2.713442087173462
test,merz_data,R2,10,-0.07360069751739502,1.0128348207309013,-2.643941879272461,0.5636482238769531
test,merz_data,pearson,10,0.7581270813941956,0.006785952131105655,0.7427921891212463,0.7679034471511841
test,merz_data,spearman,10,0.791331946849823,0.005654733267807421,0.781514048576355,0.8000696301460266
test,nielsen_data,MAE,10,19.41645030975342,3.0997083270408354,16.30621910095215,25.18480682373047
test,nielsen_data,MSE,10,743.269873046875,121.26131155186707,523.6385498046875,906.906005859375
test,nielsen_data,R2,10,-0.3798419237136841,0.22511531854665287,-0.6836237907409668,0.027892231941223145
test,nielsen_data,pearson,10,0.5788608849048614,0.010679396907650787,0.5583754777908325,0.5925856828689575
test,nielsen_data,spearman,10,0.6883208274841308,0.009155440970025141,0.6707008481025696,0.695697546005249
